ELEMENT ID,START,end,SEVERITY
0,20:58:32,22:46:44,5
3,02:40:15,22:11:11,2
3,10:04:35,20:14:48,7
4,07:08:35,15:02:35,2
6,00:06:59,13:13:35,10
7,20:49:44,22:23:45,10
7,05:38:33,06:39:07,10
9,08:11:20,08:43:11,6
10,16:05:51,21:08:55,2
11,13:22:36,19:03:10,9
11,07:35:41,21:43:50,6
13,11:18:01,18:48:25,6
13,14:00:02,15:21:42,6
14,21:13:16,21:30:49,5
14,02:38:43,16:33:46,5
14,03:09:10,04:04:05,9
16,21:38:57,21:58:43,4
16,03:41:35,14:11:38,2
16,09:09:32,10:52:28,8
16,19:05:40,23:19:07,1
18,20:22:47,23:00:43,5
21,07:10:02,13:14:42,1
22,07:05:27,08:30:02,2
22,00:42:01,17:37:18,9
25,01:03:51,07:23:57,8
25,21:39:56,22:02:22,9
26,12:21:18,15:35:40,3
27,11:22:30,21:00:57,4
27,14:44:48,23:24:19,9
28,03:09:13,21:08:42,5
30,17:10:08,21:14:39,2
31,14:55:17,23:21:07,4
32,21:08:42,23:24:18,8
33,08:24:16,15:06:10,2
34,15:02:56,20:59:19,9
35,02:24:31,19:18:17,6
39,23:41:44,23:58:28,8
39,00:21:14,07:33:10,9
43,06:48:07,10:25:23,8
43,17:25:35,22:54:16,10
44,00:51:21,19:06:38,9
45,08:12:02,19:00:44,10
47,08:51:07,20:41:27,6
50,04:40:22,07:51:18,2
52,09:57:43,17:19:33,4
53,13:11:17,16:04:15,8
53,17:14:59,20:59:58,9
53,14:06:08,14:50:55,10
55,10:33:59,13:26:08,4
59,16:24:14,17:44:50,7
62,12:08:14,20:47:49,9
62,18:53:38,20:26:22,7
62,20:53:43,23:14:21,1
62,17:06:41,19:58:53,6
62,21:33:42,23:46:57,3
62,13:13:39,17:53:09,8
62,04:29:44,09:02:12,7
62,22:41:55,23:13:23,2
62,12:06:47,22:25:47,4
62,07:02:01,14:53:45,8
63,02:20:04,09:00:02,1
67,06:05:47,19:34:02,5
70,22:00:01,23:50:22,7
72,09:11:02,19:22:09,2
73,06:37:43,20:01:44,1
74,17:03:28,18:56:35,9
74,08:21:23,09:53:36,6
74,21:22:31,22:12:38,3
74,12:15:00,19:04:34,4
74,19:24:16,23:41:12,10
74,18:37:53,20:08:56,6
74,01:23:29,05:22:54,2
74,14:43:58,16:50:31,2
74,04:04:46,17:25:12,4
74,18:22:36,20:49:29,3
74,01:12:00,06:55:57,9
74,11:22:10,17:21:32,4
74,17:18:00,22:24:33,5
74,10:59:23,22:26:06,3
74,06:13:44,18:11:24,4
74,13:41:34,20:29:23,8
74,06:03:28,15:23:41,8
75,18:57:23,20:25:49,7
82,15:53:44,21:37:57,10
84,15:09:12,17:28:41,4
84,02:14:56,19:04:14,6
84,23:21:10,23:43:34,8
86,07:51:00,18:51:49,4
86,09:05:43,10:33:37,4
87,20:45:27,22:44:04,6
89,21:02:47,23:53:31,5
90,18:30:33,20:36:56,9
90,03:56:26,23:51:19,9
90,05:14:42,10:52:52,10
92,16:13:16,21:25:30,10
93,21:31:02,23:21:02,9
94,03:40:44,08:27:30,8
94,10:53:58,13:49:15,10
95,21:11:27,22:13:12,1
97,02:50:20,04:13:48,7
98,11:05:24,16:21:57,5
98,05:51:09,14:59:17,10
99,23:19:58,23:29:48,3
